Id,ID4932,ID4167,ID4163,ID0998,ID4882,ID3846,ID4618,ID4132,ID4794,ID4219,ID4529,ID0997,ID4287,ID4528,ID0420,ID4641,ID4429,ID4493,ID4872,ID4820,ID0937,ID4718,ID4355,ID4491,ID4799,ID4622,ID4385,ID4445,ID3767,ID3641,ID4291,ID4861,ID4109,ID4326,ID4783,ID3998,remainingTime,prediction
1,4,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258300.0,451995.6
100,0,0,0,4,2,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841500.0,465247.2
106,0,0,0,2,2,0,6,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86019.6
110,0,2,2,0,0,0,0,0,4,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2259720.0,4713304.8
182,0,0,0,2,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261240.0,108379.2
188,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,507840.0,2795389.2
199,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7475880.0,2711599.2
20,0,4,0,0,0,0,2,0,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136080.0,1486659.6
201,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3933300.0,1523539.2
208,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3193140.0,2075862.0
210,0,0,0,0,0,0,2,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867600.0,1465911.6
