Id,ID4932,ID4167,ID4163,ID0998,ID4882,ID4445,ID3846,ID4618,ID4132,ID4794,ID4219,ID4529,ID0997,ID4287,ID4528,ID0420,ID4355,ID4641,ID4429,ID4493,ID4872,ID4820,ID0937,ID4718,ID4385,ID3767,ID4491,ID4799,ID4622,ID3641,ID4291,ID4861,ID4109,ID4326,ID4142,ID4783,ID3998,remainingTime,prediction
1,4,4,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229620.0,629379.625
108,0,0,0,2,0,0,0,0,0,2,0,4,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712740.0,971891.0625
11,2,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620460.0,2482058.5
111,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431760.0,2171079.0
112,0,0,0,0,0,0,9,0,4,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209000.0,3028633.25
115,8,0,0,0,5,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439700.0,2546628.5
123,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204060.0,2158988.0
127,0,2,0,0,2,0,0,2,0,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231380.0,1624590.875
135,2,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,477420.0,1464545.75
163,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5009640.0,1988421.875
18,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6092040.0,5039868.0
185,0,0,0,4,0,0,0,0,2,0,0,0,0,7,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5175600.0,423469.90625
212,0,0,0,3,0,0,0,6,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320580.0,416359.3125
219,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,90000.0,103773.484375
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511800.0,238248.921875
242,0,2,0,2,2,0,0,0,0,6,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427440.0,1013306.4375
246,0,0,0,4,4,0,2,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3600.0,534797.5625
262,0,2,0,5,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178560.0,266835.4375
265,0,0,0,4,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248820.0,287767.25
27,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235680.0,1284915.75
29,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2719440.0,1840721.75
3,2,2,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,185160.0,457274.3125
31,6,0,4,2,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262580.0,1122245.125
39,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357420.0,2274182.0
40,2,0,0,2,2,0,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42780.0,629166.375
43,0,0,0,4,0,0,0,6,0,0,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600.0,35651.6953125
44,3,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964040.0,3206576.5
46,0,0,0,4,0,0,0,0,0,4,0,2,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65460.0,82315.96875
52,0,0,0,0,1,0,0,2,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393240.0,1487966.75
