,id,timestamp,state,resource,next_state,next_time,next_dur,elapsed_time,total_time,remaining_time,history
0,0,1327872240,0,0,0,1327894980,22740,0,1560960,1560960,0
1,0,1327894980,0,0,0,1327895040,60,22740,1560960,1538220,0_0
2,0,1327895040,0,0,0,1327898520,3480,22800,1560960,1538160,0_0_0
3,0,1327898520,0,0,0,1327899540,1020,26280,1560960,1534680,0_0_0_0
4,0,1327899540,0,1,0,1327900860,1320,27300,1560960,1533660,0_0_0_0_0
5,0,1327900860,0,1,0,1327900860,0,28620,1560960,1532340,0_0_0_0_0_0
6,0,1327900860,0,1,0,1327913880,13020,28620,1560960,1532340,0_0_0_0_0_0_0
7,0,1327913880,0,1,1,1328008800,94920,41640,1560960,1519320,0_0_0_0_0_0_0_0
8,0,1328008800,1,2,1,1328014200,5400,136560,1560960,1424400,0_0_0_0_0_0_0_0_1
9,0,1328014200,1,2,2,1328077080,62880,141960,1560960,1419000,0_0_0_0_0_0_0_0_1_1
10,0,1328077080,2,3,2,1328077620,540,204840,1560960,1356120,0_0_0_0_0_0_0_0_1_1_2
11,0,1328077620,2,3,3,1329170400,1092780,205380,1560960,1355580,0_0_0_0_0_0_0_0_1_1_2_2
12,0,1329170400,3,4,3,1329170400,0,1298160,1560960,262800,0_0_0_0_0_0_0_0_1_1_2_2_3
13,0,1329170400,3,4,3,1329174900,4500,1298160,1560960,262800,0_0_0_0_0_0_0_0_1_1_2_2_3_3
14,0,1329174900,3,4,3,1329174900,0,1302660,1560960,258300,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3
15,0,1329174900,3,4,3,1329203100,28200,1302660,1560960,258300,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3
16,0,1329203100,3,4,3,1329203100,0,1330860,1560960,230100,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3
17,0,1329203100,3,4,4,1329203580,480,1330860,1560960,230100,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3
18,0,1329203580,4,5,3,1329205080,1500,1331340,1560960,229620,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4
19,0,1329205080,3,4,3,1329207600,2520,1332840,1560960,228120,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3
20,0,1329207600,3,4,4,1329219420,11820,1335360,1560960,225600,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3
21,0,1329219420,4,5,4,1329219420,0,1347180,1560960,213780,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3_4
22,0,1329219420,4,5,4,1329226020,6600,1347180,1560960,213780,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3_4_4
23,0,1329226020,4,5,5,1329368340,142320,1353780,1560960,207180,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3_4_4_4
24,0,1329368340,5,6,5,1329371940,3600,1496100,1560960,64860,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3_4_4_4_5
25,0,1329371940,5,6,5,1329387060,15120,1499700,1560960,61260,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3_4_4_4_5_5
26,0,1329387060,5,6,5,1329388980,1920,1514820,1560960,46140,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3_4_4_4_5_5_5
27,0,1329388980,5,6,5,1329393480,4500,1516740,1560960,44220,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3_4_4_4_5_5_5_5
28,0,1329393480,5,6,5,1329401520,8040,1521240,1560960,39720,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3_4_4_4_5_5_5_5_5
29,0,1329401520,5,6,6,1329429600,28080,1529280,1560960,31680,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3_4_4_4_5_5_5_5_5_5
30,0,1329429600,6,7,6,1329433200,3600,1557360,1560960,3600,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3_4_4_4_5_5_5_5_5_5_6
31,0,1329433200,6,7,99,1329433200,0,1560960,1560960,0,0_0_0_0_0_0_0_0_1_1_2_2_3_3_3_3_3_3_4_3_3_4_4_4_5_5_5_5_5_5_6_6
32,1,1326776460,7,8,8,1326790800,14340,0,1447140,1447140,7
33,1,1326790800,8,9,7,1326791100,300,14340,1447140,1432800,7_8
34,1,1326791100,7,8,8,1326791700,600,14640,1447140,1432500,7_8_7
35,1,1326791700,8,9,7,1326821040,29340,15240,1447140,1431900,7_8_7_8
36,1,1326821040,7,10,7,1326823260,2220,44580,1447140,1402560,7_8_7_8_7
