Run,Rmse,Mae
xgboost_simpleIndex_Kmeans_clustering,520.0389562071066,471.3395922364673
randomforest_simpleIndex_Kmeans_clustering,903.6700712246327,848.38781153846151
linear_simpleIndex_Kmeans_clustering,474.5127360952306,287.15123956601138
xgboost_frequency_Kmeans_clustering,219.9900213556123,174.32465645032048
randomforest_frequency_Kmeans_clustering,459.4006871035225,319.60786994301998
linear_frequency_Kmeans_clustering,448.5367624362379,317.5109826813034
xgboost_indexLatestPayload_Kmeans_clustering,1209.8549370936112,1117.5358989939457
randomforest_indexLatestPayload_Kmeans_clustering,1147.4588698354935,1009.5050427350426
linear_indexLatestPayload_Kmeans_clustering,2888.323607016375,1554.48789785026
xgboost_boolean_Kmeans_clustering,432.1024675379823,311.32665875818685
randomforest_boolean_Kmeans_clustering,534.1879221722825,506.70516795555562
linear_boolean_Kmeans_clustering,602.5453318899658,546.63503478600433
xgboost_complexIndex_Kmeans_clustering,540.5632278073656,499.47621282941589
randomforest_complexIndex_Kmeans_clustering,478.15798511579834,354.72781196581201
linear_complexIndex_Kmeans_clustering,6132.705767617085,2723.6827488975405
