Run,Rmse,Mae
linear_simpleIndex_Kmeans_clustering,166.21368044434908,138.90159358153187
linear_simpleIndex_Kmeans_clustering,167.80203280427546,135.83173714154174
linear_simpleIndex_Kmeans_clustering,167.1287591533647,134.37554598392009
linear_simpleIndex_Kmeans_clustering,168.27894740000625,134.7999019894543
linear_simpleIndex_Kmeans_clustering,161.7388999264369,131.19111606813283
linear_simpleIndex_Kmeans_clustering,160.3403995895933,128.44831331438036
linear_simpleIndex_Kmeans_clustering,169.70070419554716,137.7002685838626
linear_simpleIndex_Kmeans_clustering,166.3605504001449,140.05604462009367
linear_simpleIndex_Kmeans_clustering,165.690159534173,140.44463803619988
linear_simpleIndex_None_clustering,469.99228352086794,365.4642372458656
linear_simpleIndex_None_clustering,530.4890321094254,391.07927144541344
linear_simpleIndex_Kmeans_clustering,1357.3276364208214,1194.0342914296705
